3	97
5	1008
7	315
11	112
12	709
13	681
15	792
18	974
21	808
22	621
26	1117
27	415
33	1260
34	512
36	806
39	80
40	109
41	601
43	835
44	1224
45	1148
48	1095
50	308
51	747
52	1120
57	245
58	743
59	1212
61	298
62	613
63	1236
68	1107
71	202
72	864
74	1130
81	109
83	1286
84	243
86	1263
90	1258
91	667
96	918
98	1053
102	1211
105	567
106	366
108	280
109	571
111	571
112	522
113	494
115	1061
117	153
118	361
120	272
123	441
124	843
128	651
129	296
132	1072
135	431
137	1068
139	482
141	626
143	205
144	972
145	428
146	582
151	1229
152	1081
155	617
158	1143
159	856
160	261
161	470
166	215
168	514
169	376
171	1030
174	1125
176	440
178	843
181	185
186	825
187	637
189	417
192	691
195	683
199	1025
202	450
203	897
204	726
207	581
208	1233
210	220
211	495
212	1143
213	1139
220	1013
221	663
222	869
224	1317
225	1049
226	839
230	515
231	248
233	963
234	490
235	464
236	813
238	248
240	689
244	515
245	458
246	1140
248	815
252	928
254	336
258	1190
262	1076
266	977
275	601
276	1067
277	329
278	454
279	664
281	823
284	1233
285	419
286	974
289	803
290	820
296	321
298	647
300	940
302	959
303	901
304	490
305	426
306	1068
309	537
311	397
313	860
318	610
319	395
321	1152
325	915
326	625
332	1058
334	337
335	440
336	1320
337	1269
338	351
342	710
344	553
347	1055
350	951
351	629
352	863
353	581
355	1230
356	1012
357	640
358	386
360	582
367	707
369	663
370	1264
372	986
373	1275
374	807
381	837
384	1272
385	401
386	425
389	1277
391	606
396	611
397	610
398	1218
399	1332
400	748
403	968
407	943
408	763
412	757
415	1332
419	744
422	1320
423	522
426	1140
427	684
428	1250
430	908
434	909
438	877
442	635
447	950
448	697
449	698
451	669
459	1136
460	685
461	534
462	931
464	860
466	772
467	762
468	672
471	507
475	553
476	595
477	642
479	1134
480	813
482	1070
483	540
484	766
485	1139
492	976
493	1239
494	1071
497	1108
500	1333
501	1003
507	764
508	1190
510	1209
511	914
513	815
514	858
517	887
518	1297
523	1034
528	681
532	682
534	869
542	564
544	896
547	1206
549	1178
550	700
552	1275
554	966
555	709
559	680
560	804
561	889
562	936
572	1199
573	693
575	1113
577	1025
578	934
580	1204
581	624
585	655
586	895
587	688
591	772
593	1222
599	984
604	1030
605	622
608	640
615	778
618	1325
625	1293
