0	1378	217
2	856	375
3	861	402
7	818	484
10	955	291
12	114	497
12	706	318
13	1090	422
14	203	336
14	903	205
15	1113	197
16	276	426
18	304	184
24	771	166
27	1231	179
28	176	267
31	487	158
32	134	229
32	1167	497
37	922	139
39	451	148
40	577	199
42	788	483
45	858	483
50	1425	451
52	1052	491
53	987	459
55	909	313
61	866	383
62	517	326
63	1185	312
63	1419	119
65	1177	472
66	605	248
67	483	289
69	1093	458
71	827	485
72	1304	274
76	1018	311
77	164	347
77	828	287
88	863	334
90	371	143
90	1115	392
92	649	411
93	935	478
94	1182	171
95	335	355
99	951	184
101	256	494
103	899	300
105	709	410
106	1167	110
107	903	408
107	1217	370
108	631	230
109	445	193
114	615	233
116	1044	417
120	283	277
120	617	141
121	368	261
122	1429	369
123	728	494
124	246	322
130	447	448
132	472	263
134	323	310
136	577	152
141	529	443
141	567	465
145	292	197
146	636	433
152	538	228
152	728	181
155	950	126
155	1409	216
157	1060	334
159	1114	466
160	937	427
160	1057	280
162	1201	182
163	1206	379
164	278	487
166	1231	133
168	618	185
169	1168	471
170	978	104
174	733	185
175	413	403
176	521	326
176	570	302
178	716	376
179	341	222
180	260	285
180	350	399
180	686	241
181	819	141
183	261	132
183	850	105
186	1094	248
188	254	164
190	299	432
192	310	368
193	1331	103
194	702	315
195	283	439
196	718	141
197	813	380
198	416	367
199	1055	489
204	384	437
205	1237	230
206	581	238
207	654	285
208	579	168
209	1071	237
212	463	183
216	285	250
218	1152	177
219	1274	435
220	535	160
221	655	164
221	1119	291
222	893	173
224	438	368
228	1219	375
234	1301	182
239	691	188
240	679	368
243	573	448
243	926	139
244	897	340
247	1306	256
248	870	215
249	1005	182
250	1438	402
254	1354	499
255	423	348
255	685	449
255	1021	283
256	767	491
257	1123	329
258	1239	137
259	853	167
261	910	158
262	738	155
270	715	105
273	1379	328
276	360	120
277	1269	250
278	799	441
280	539	415
281	528	472
283	971	483
284	1382	113
285	554	422
287	858	357
289	1264	382
292	890	185
292	1283	239
292	1429	368
294	596	161
297	601	142
302	1051	441
302	1072	409
302	1212	148
303	965	306
304	810	371
305	521	317
307	910	276
307	1116	161
307	1395	498
308	392	410
308	449	177
312	1210	405
316	402	278
316	702	359
316	1360	384
317	784	320
320	916	421
320	959	151
321	423	272
321	1084	488
325	1319	214
328	1263	297
328	1309	265
329	1072	388
330	1131	120
334	539	457
334	1198	343
335	915	322
337	967	195
339	472	339
339	679	138
339	1133	401
341	1169	374
343	550	399
343	814	258
344	999	157
345	1024	308
347	539	121
348	804	443
348	1351	122
349	660	375
349	1250	279
352	1166	342
356	837	424
357	1069	491
357	1069	450
358	849	485
358	1295	379
359	1363	392
367	942	424
367	971	358
368	695	422
369	751	124
371	977	226
373	536	387
381	1090	424
382	919	353
382	1031	107
383	834	311
386	616	173
386	763	282
388	1125	300
392	749	392
394	1276	314
395	1260	269
395	1347	185
400	878	492
403	1191	393
404	671	213
404	1167	103
