39	18	24	36	97
18	37	46	64	28
62	37	7	116	55
70	77	86	116	164
25	60	16	121	28
78	40	53	134	54
71	53	75	65	101
17	88	23	164	16
14	9	69	110	140
34	49	39	98	82
48	9	92	132	136
43	64	66	128	64
30	22	17	105	16
27	98	33	32	46
60	73	17	127	107
79	46	26	135	45
53	48	91	51	93
33	37	5	47	70
32	60	80	39	88
40	87	30	136	44
93	49	32	70	110
85	27	6	69	111
4	66	21	48	74
54	5	79	114	75
60	49	72	56	136
21	11	95	35	107
93	58	38	14	133
65	61	68	90	52
97	3	53	108	56
11	91	62	64	67
40	95	12	112	68
48	4	68	38	155
37	11	21	98	82
100	15	70	118	62
56	24	39	77	103
18	79	99	135	89
40	6	5	87	93
65	11	98	67	57
49	46	51	33	147
44	32	93	86	93
63	95	1	119	61
89	18	88	120	60
3	34	50	25	139
96	57	71	39	141
54	29	13	29	89
93	56	77	38	125
90	55	73	29	155
89	10	90	136	80
96	14	14	74	106
76	29	95	66	61
48	55	31	20	124
81	18	76	59	70
20	54	44	128	48
92	68	81	62	118
69	19	47	118	130
75	79	38	86	81
44	60	93	27	153
76	80	78	52	128
62	76	83	60	61
14	89	35	36	106
72	53	63	16	25
65	65	26	82	98
53	23	19	76	119
7	45	87	108	72
36	64	45	11	87
6	60	1	105	75
59	42	21	71	109
94	21	94	144	36
74	81	75	100	39
59	69	22	104	52
4	88	41	47	20
12	17	90	149	31
73	35	96	57	73
49	27	78	58	132
86	46	41	100	105
46	49	31	139	41
42	12	62	92	84
7	89	68	134	21
10	30	33	129	148
12	99	58	37	162
41	19	3	159	21
53	89	82	83	106
23	70	82	131	86
87	34	98	109	133
77	72	52	95	79
24	25	87	100	80
94	54	94	108	92
88	94	66	18	78
97	72	65	85	11
100	1	94	118	120
58	86	75	131	48
89	5	27	105	75
84	80	56	117	132
43	34	25	120	60
96	24	54	144	59
7	70	54	126	54
68	8	24	17	104
61	81	86	93	87
82	78	64	48	37
9	68	81	155	25
33	56	31	49	10
87	16	28	22	79
75	98	35	98	65
15	59	22	117	139
40	41	91	96	19
11	65	65	97	21
77	62	80	17	133
100	33	18	73	43
74	57	50	101	106
97	49	90	170	10
60	90	31	139	41
13	25	14	39	51
68	95	39	69	118
37	39	60	70	134
66	30	78	160	20
27	81	81	150	30
49	39	44	91	112
22	37	64	144	36
2	70	60	146	120
67	27	10	109	77
24	21	49	96	117
29	90	27	63	117
66	38	20	124	48
39	56	79	110	70
11	28	71	58	68
16	66	11	104	47
40	38	93	18	106
3	4	5	120	60
7	61	4	28	41
82	22	31	28	141
6	91	91	115	65
52	60	64	104	75
24	58	20	96	54
96	54	13	28	56
23	14	81	34	146
96	67	49	81	75
2	68	77	89	91
50	65	35	50	94
73	98	39	123	55
91	34	77	20	180
99	13	55	18	132
81	87	2	145	96
32	61	37	129	136
89	100	100	106	74
11	95	62	47	117
36	99	59	94	75
90	36	23	103	41
77	89	46	118	136
7	68	98	88	85
7	45	99	105	109
52	6	86	134	46
100	74	57	69	10
90	27	1	77	76
42	17	75	104	104
66	42	91	139	43
6	27	50	68	112
9	92	73	117	131
50	85	40	121	127
81	24	35	73	87
19	61	32	31	112
22	66	60	21	111
55	75	92	35	145
8	74	55	80	166
63	53	54	95	152
94	66	9	141	39
69	9	51	118	18
57	6	30	146	94
45	99	76	139	41
96	15	18	120	60
77	4	7	73	107
73	77	98	62	74
91	26	48	68	122
26	84	61	148	33
51	83	21	54	26
75	36	90	132	59
70	10	98	104	76
80	20	72	73	134
4	88	67	143	37
2	72	5	42	149
36	85	58	165	97
49	36	32	55	143
82	14	96	48	145
56	19	84	26	105
73	16	23	61	22
20	95	9	79	26
3	52	99	98	77
99	75	81	114	104
48	53	77	140	110
17	98	93	136	44
21	21	73	74	131
68	62	14	39	141
62	53	53	72	46
65	96	41	90	90
79	52	86	53	128
22	2	81	84	96
67	82	59	82	95
12	97	83	140	40
35	35	34	115	65
91	12	45	71	126
20	69	29	81	72
9	38	10	79	47
55	34	52	140	65
16	63	49	51	20
86	54	96	69	111
80	78	22	85	66
43	67	14	148	32
66	82	54	120	15
10	48	22	41	101
34	65	69	149	90
64	54	41	158	158
87	59	92	65	94
50	63	40	71	25
90	42	77	14	115
13	23	94	119	92
63	35	1	107	73
25	68	11	102	78
100	97	80	81	99
72	50	60	145	35
92	41	88	97	152
31	46	31	26	154
30	27	28	85	95
90	100	35	62	31
82	57	54	24	156
91	67	2	78	47
39	30	6	99	147
77	100	11	165	15
82	62	30	39	136
18	23	16	93	90
79	32	16	69	111
12	81	2	19	50
22	32	42	86	53
99	65	61	77	49
60	79	77	23	120
41	36	73	25	23
59	43	63	145	54
26	4	18	162	18
54	78	83	86	94
67	16	88	46	40
95	31	82	105	90
37	52	66	44	77
57	26	83	107	73
81	89	24	83	52
14	1	13	73	107
89	11	66	72	71
65	12	22	89	47
100	10	32	36	80
20	52	95	147	39
8	12	25	112	57
36	1	88	69	139
53	25	94	40	167
48	70	87	18	111
69	25	70	22	120
86	79	92	67	168
85	9	22	60	20
100	2	27	93	87
13	59	45	151	29
97	68	24	30	150
45	40	69	39	141
36	33	27	70	53
63	46	48	95	120
86	43	67	77	62
79	60	43	110	102
86	45	67	67	113
93	22	41	41	135
4	25	16	58	77
3	83	94	24	141
4	74	2	63	90
25	37	45	95	85
5	3	86	117	63
37	32	76	78	100
6	97	79	161	86
27	21	20	29	35
59	90	59	110	41
93	2	7	40	61
31	38	9	73	111
44	36	11	149	66
3	13	94	74	56
3	3	93	138	27
82	1	61	115	65
27	84	56	18	122
27	91	70	109	58
24	44	34	84	60
59	97	19	26	156
43	69	97	96	83
53	38	19	75	74
24	36	32	92	88
60	45	29	55	38
3	57	8	75	133
88	36	13	134	137
99	28	4	46	65
78	61	33	158	22
47	61	60	126	27
99	69	75	10	141
83	93	70	147	33
75	71	18	25	155
27	36	69	47	117
41	35	68	128	20
22	85	55	81	99
68	44	16	145	35
22	59	56	133	101
86	98	71	32	101
20	1	70	95	85
85	80	33	140	40
22	26	97	68	140
8	58	15	126	54
78	23	2	37	143
68	83	43	74	76
77	30	66	35	40
90	75	62	126	54
69	33	94	59	79
23	23	12	143	14
54	27	70	105	20
70	33	3	23	132
70	4	44	136	70
88	16	2	32	148
11	9	25	22	143
41	59	89	86	124
16	52	90	92	53
18	28	67	26	48
90	9	84	77	103
96	59	17	83	124
9	22	100	72	52
69	53	24	113	60
18	57	45	44	114
23	30	73	10	72
35	28	72	139	41
73	99	58	42	123
73	74	55	131	89
58	44	10	125	55
50	25	17	134	60
44	5	42	100	97
93	52	76	128	60
98	10	10	132	77
77	29	98	92	19
49	85	46	69	77
65	39	30	42	138
91	25	75	27	46
